Individuo | Variable | Mascara | Original | Mutado | Noise | Lower | Upper
10        | 24       | 1       | -8.5626  | -9.1927  | -0.6301  | -20.0000 | 0.0000  
10        | 25       | 1       | -42.9138 | -41.4881 | 1.4257   | -600.0000 | 600.0000
10        | 26       | 0       | 36.5068  | 36.5068  | -0.6825  | -400.0000 | 200.0000
10        | 27       | 0       | -6.8654  | -6.8654  | -1.7912  | -20.0000 | 0.0000  
10        | 28       | 0       | 0.0000   | 0.0000   | 0.2571   | -600.0000 | 600.0000
10        | 29       | 0       | 0.0000   | 0.0000   | -2.1132  | -400.0000 | 200.0000
10        | 30       | 0       | 0.0000   | 0.0000   | 0.8533   | -20.0000 | 0.0000  

11        | 1        | 0       | 0.0000   | 0.0000   | 0.7411   | -600.0000 | 600.0000
11        | 2        | 0       | 0.0000   | 0.0000   | 1.8470   | -400.0000 | 200.0000
11        | 3        | 0       | 0.0000   | 0.0000   | 2.6369   | -20.0000 | 0.0000  
11        | 4        | 0       | -249.3381 | -249.3381 | -1.0113  | -600.0000 | 600.0000
