Tiempo,Profundidad,Temperatura,pH,DO_SAT,DO,Blue,Chl
,-55.963,247.376,700.438,125.268,10.4023,479.703,0
,-561.612,247.333,698.572,123.495,10.2559,0,0
,-563.594,247.347,699.436,123.127,10.225,104.828,0
,-558.639,nan,699.092,123.367,10.2463,221.542,0
,-556.657,247.274,699.251,123.497,10.2571,0,0
,-555.666,247.351,699.685,122.715,10.1907,183.684,0
,-557.648,247.333,699.288,121.406,10.0824,289.099,0
,-55.963,247.367,697.917,121.49,10.0888,42.088,0
,-558.639,247.225,6.9938,121.34,nan,0,0
,-54.873,247.291,699.295,120.568,10.0136,0,0
,-54.873,247.177,698.758,119.639,993.496,944.466,0
,-546.748,247.299,700.276,119.359,991.383,230.071,nan
,-54.873,nan,700.061,118.698,985.821,809.902,0
,-551.703,247.276,7.0113,117.035,972.039,156.778,0
,-544.766,247.386,700.158,117.684,977.234,235.415,0
,-549.721,247.339,6.9984,117.7,977.453,1.1928,0
,-546.748,247.271,700.151,117.419,975.243,306.795,0
,-545.757,247.243,699.623,116.28,965.834,133.489,0
,-552.694,247.333,699.931,115.894,962.467,332.936,0
,-546.748,247.373,699.914,116.766,969.631,132.924,0
,-54.873,24.726,6.9926,115.974,963.256,737.931,0
,-544.766,247.246,699.771,116.686,969.199,974.215,0
,-550.712,247.297,699.823,116.218,965.214,127.407,0
,-586.387,24.724,700.011,116.107,9.644,151.331,0
,-558.639,247.252,700.288,116.338,966.295,186.839,0
,-567.558,247.302,7.0315,117.727,nan,104.424,0
,-570.531,24.689,751.344,111.814,9.2934,100.428,0
,-568.549,246.655,nan,103.175,825.353,451.027,nan
,-564.585,245.373,710.766,979.363,816.287,378.489,109.677
,-568.549,244.864,709.772,976.488,8.1466,nan,78.465
,-565.576,244.599,710.816,976.158,814.786,464.374,733.453
,-56.954,243.927,711.339,969.804,810.493,510.314,654.561
,-562.603,243.571,712.391,971.518,812.463,374.705,730.383
,-567.558,243.117,714.781,965.353,807.988,2.3766,635.588
,-562.603,242.961,716.024,969.897,812.028,552.775,614.607
,-55.963,242.656,717.198,965.008,808.393,592.031,654.324
,-551.703,242.466,714.128,962.548,806.617,411.856,0
,-561.612,242.103,710.409,958.405,803.688,427.835,377.788
,-560.621,241.682,712.567,956.827,802.994,376.949,613.058
,-560.621,241.308,7.0789,958.158,804.674,197.808,0
,-555.666,240.544,711.304,953.902,802.241,423.288,114.946
,-560.621,240.053,712.808,nan,804.965,395.977,910.682
,-55.963,239.682,709.731,951.554,801.556,441.235,135.637
,-564.585,239.036,717.164,95.214,803.019,4.3884,19.933
,-551.703,238.063,711.643,954.517,805.925,1.7731,312.163
,-558.639,237.587,710.132,954.686,nan,281.248,213.321
,-557.648,237.137,714.983,951.079,804.985,3.7567,236.838
,-560.621,236.951,716.459,953.201,807.062,3.0602,0
